,sequence,weather,map,vehicles/frame,pedestrians/frame,statics/frame
0,01,,,5.183098591549296,8.556338028169014,29.232394366197184
1,02,,,8.487179487179487,11.487179487179487,25.615384615384617
2,03,,,6.283422459893048,7.304812834224599,116.62566844919786
3,04,,,4.491379310344827,6.370689655172414,35.35344827586207
4,05,,,0.8969072164948454,2.0412371134020617,130.4536082474227
5,06,,,2.0756302521008405,6.394957983193278,46.7563025210084
6,07,,,3.0921052631578947,5.552631578947368,22.585526315789473
7,08,,,4.024390243902439,3.9634146341463414,28.853658536585368
8,09,,,6.782178217821782,0.019801980198019802,26.287128712871286
9,10,,,1.7851239669421488,0.768595041322314,15.520661157024794
10,100,,,1.5461393596986817,9.364406779661017,19.58662900188324
11,11,,,11.3375,7.575,16.6
12,110,,,0.48128342245989303,1.2620320855614973,30.122994652406415
13,12,,,2.789473684210526,4.87218045112782,35.30827067669173
14,120,,,1.0,1.6,12.3
15,13,,,6.588235294117647,14.8,30.941176470588236
16,14,,,0.22641509433962265,6.226415094339623,7.2075471698113205
17,15,,,10.895833333333334,4.354166666666667,20.479166666666668
18,16,,,16.023809523809526,10.49047619047619,0.0
19,17,,,12.443349753694582,10.177339901477833,0.3891625615763547
20,18,,,1.9172932330827068,7.864661654135339,0.7218045112781954
21,19,,,3.456692913385827,6.9763779527559056,0.6771653543307087
22,20,,,9.029126213592233,5.932038834951456,0.32038834951456313
23,21,,,3.8983050847457625,5.796610169491525,17.491525423728813
24,22,,,2.096774193548387,5.021505376344086,11.376344086021506
25,23,,,2.8645833333333335,10.28125,40.9375
26,24,,,1.528735632183908,2.5402298850574714,9.770114942528735
27,25,,,1.1333333333333333,6.311111111111111,24.562962962962963
28,26,,,0.0,2.365079365079365,26.46031746031746
29,27,,,0.0,2.25,14.097222222222221
30,28,,,1.8142857142857143,2.5428571428571427,70.96428571428571
31,29,,,1.4965034965034965,1.7972027972027973,26.706293706293707
32,30,,,1.2830188679245282,0.9937106918238994,5.861635220125786
33,31,,,1.25,2.1875,0.40625
34,32,,,0.38095238095238093,5.0396825396825395,1.4206349206349207
35,33,,,0.5576923076923077,2.423076923076923,24.08974358974359
36,34,,,0.8787878787878788,1.1111111111111112,29.696969696969695
37,35,,,2.3255813953488373,2.2868217054263567,7.5813953488372094
38,36,,,1.2578125,1.875,14.75
39,37,,,1.7701149425287357,0.8390804597701149,4.747126436781609
40,38,,,0.45408163265306123,0.07142857142857142,0.5816326530612245
41,39,,,2.3902439024390243,43.1869918699187,3.8536585365853657
42,40,,,3.326923076923077,18.46153846153846,8.897435897435898
43,41,,,3.1417910447761193,30.55223880597015,13.82089552238806
44,42,,,0.9707602339181286,2.3976608187134505,14.941520467836257
45,43,,,0.72,6.6066666666666665,17.16
46,44,,,2.2098765432098766,10.382716049382717,65.41975308641975
47,45,,,1.0721649484536082,3.268041237113402,37.855670103092784
48,46,,,13.570093457943925,3.3271028037383177,45.570093457943926
49,47,,,8.829931972789115,1.510204081632653,78.70748299319727
50,48,,,3.8448275862068964,4.741379310344827,15.137931034482758
51,49,,,3.5402298850574714,2.8505747126436782,84.63218390804597
52,50,,,6.173469387755102,8.040816326530612,57.8469387755102
53,51,,,4.052083333333333,4.197916666666667,3.3645833333333335
54,52,,,4.4298245614035086,3.543859649122807,18.62280701754386
55,53,,,16.094117647058823,3.011764705882353,3.6
56,54,,,12.504672897196262,7.5514018691588785,28.457943925233646
57,55,,,4.657657657657658,9.91891891891892,78.42342342342343
58,56,,,7.458333333333333,14.553571428571429,121.16666666666667
59,57,,,3.7611940298507465,3.888059701492537,55.208955223880594
60,58,,,4.909090909090909,9.25,46.46969696969697
61,59,,,14.206185567010309,11.958762886597938,18.65979381443299
62,60,,,1.8571428571428572,5.835714285714285,153.52857142857144
63,70,,,1.3312,3.3376,27.32
64,80,,,7.389542483660131,5.993464052287582,34.17385620915033
65,90,,,7.297798377752028,14.504055619930474,71.60312862108923
